episode,outcome,total_actions,unique_actions,num_repeated_actions,total_repetitions,repeat_percentage
1,win,24,19,4,5,20.8333
2,win,10,10,0,0,0.0
3,win,13,13,0,0,0.0
4,win,24,18,5,6,25.0
5,win,34,21,5,13,38.2353
6,win,12,12,0,0,0.0
7,win,9,9,0,0,0.0
8,win,12,12,0,0,0.0
9,win,28,22,5,6,21.4286
10,win,24,19,4,5,20.8333
11,win,42,23,9,19,45.2381
12,win,23,17,5,6,26.087
13,win,14,13,1,1,7.1429
14,win,34,24,4,10,29.4118
15,win,58,34,8,24,41.3793
16,win,16,15,1,1,6.25
17,win,14,12,2,2,14.2857
18,win,13,13,0,0,0.0
19,win,42,27,6,15,35.7143
20,win,29,22,4,7,24.1379
21,win,13,12,1,1,7.6923
22,win,25,20,3,5,20.0
23,win,38,25,8,13,34.2105
24,win,23,15,6,8,34.7826
25,win,35,19,8,16,45.7143
26,win,39,27,4,12,30.7692
27,win,15,15,0,0,0.0
28,win,32,22,5,10,31.25
29,win,13,13,0,0,0.0
30,win,45,29,6,16,35.5556
31,win,18,17,1,1,5.5556
32,win,17,14,2,3,17.6471
33,win,35,26,5,9,25.7143
34,win,28,24,4,4,14.2857
35,win,14,13,1,1,7.1429
36,win,13,13,0,0,0.0
37,win,36,26,6,10,27.7778
38,win,11,10,1,1,9.0909
39,win,12,12,0,0,0.0
40,win,25,18,4,7,28.0
41,win,17,14,3,3,17.6471
42,win,45,27,7,18,40.0
43,win,78,28,13,50,64.1026
44,win,27,22,4,5,18.5185
45,win,15,15,0,0,0.0
46,win,21,15,6,6,28.5714
47,win,33,20,7,13,39.3939
48,win,19,17,2,2,10.5263
49,win,24,18,2,6,25.0
50,win,51,30,9,21,41.1765
51,win,40,21,5,19,47.5
52,win,31,22,4,9,29.0323
53,win,19,17,2,2,10.5263
54,win,65,41,11,24,36.9231
55,win,21,17,2,4,19.0476
56,win,11,11,0,0,0.0
57,win,32,27,3,5,15.625
58,win,20,17,3,3,15.0
59,win,13,11,2,2,15.3846
60,win,39,24,6,15,38.4615
61,win,10,9,1,1,10.0
62,win,25,18,3,7,28.0
63,win,50,19,8,31,62.0
64,win,25,19,5,6,24.0
65,win,58,35,11,23,39.6552
66,win,53,31,10,22,41.5094
67,win,11,11,0,0,0.0
68,win,10,9,1,1,10.0
69,win,11,11,0,0,0.0
70,win,56,30,10,26,46.4286
71,win,10,10,0,0,0.0
72,win,19,16,3,3,15.7895
73,win,28,16,3,12,42.8571
74,win,14,14,0,0,0.0
75,win,20,18,2,2,10.0
76,win,21,18,3,3,14.2857
77,win,28,18,4,10,35.7143
78,win,10,10,0,0,0.0
79,win,11,10,1,1,9.0909
80,win,19,16,3,3,15.7895
81,win,16,14,2,2,12.5
82,win,12,12,0,0,0.0
83,win,24,18,3,6,25.0
84,win,55,33,11,22,40.0
85,win,91,36,16,55,60.4396
86,win,16,15,1,1,6.25
87,win,14,13,1,1,7.1429
88,win,13,11,2,2,15.3846
89,win,34,22,4,12,35.2941
90,win,26,16,5,10,38.4615
91,win,88,35,13,53,60.2273
92,win,11,10,1,1,9.0909
93,win,9,9,0,0,0.0
94,win,11,10,1,1,9.0909
95,win,42,31,7,11,26.1905
96,win,88,34,15,54,61.3636
97,win,18,14,4,4,22.2222
98,win,22,18,3,4,18.1818
99,win,12,11,1,1,8.3333
100,win,20,18,2,2,10.0
101,win,11,11,0,0,0.0
102,win,17,14,3,3,17.6471
103,win,77,29,12,48,62.3377
104,win,38,28,7,10,26.3158
105,win,30,17,5,13,43.3333
106,win,12,12,0,0,0.0
107,win,28,21,5,7,25.0
108,win,15,12,3,3,20.0
109,win,13,12,1,1,7.6923
110,win,12,12,0,0,0.0
111,win,10,10,0,0,0.0
112,win,15,13,2,2,13.3333
113,win,15,12,3,3,20.0
114,win,30,22,4,8,26.6667
115,win,11,11,0,0,0.0
116,win,50,31,8,19,38.0
117,loss,99,9,7,90,90.9091
118,win,13,13,0,0,0.0
119,win,11,11,0,0,0.0
120,win,17,12,2,5,29.4118
121,win,29,23,5,6,20.6897
122,win,12,11,1,1,8.3333
123,win,12,11,1,1,8.3333
124,win,59,36,14,23,38.9831
125,win,11,10,1,1,9.0909
126,win,11,11,0,0,0.0
127,win,21,14,4,7,33.3333
128,win,71,33,11,38,53.5211
129,win,19,17,2,2,10.5263
130,win,44,30,9,14,31.8182
131,win,13,10,3,3,23.0769
132,win,19,18,1,1,5.2632
133,win,25,20,5,5,20.0
134,win,20,17,3,3,15.0
135,win,20,17,3,3,15.0
136,win,16,11,2,5,31.25
137,win,18,16,2,2,11.1111
138,win,27,24,3,3,11.1111
139,win,16,15,1,1,6.25
140,win,16,15,1,1,6.25
141,win,49,28,11,21,42.8571
142,win,68,35,14,33,48.5294
143,loss,97,12,8,85,87.6289
144,win,27,20,5,7,25.9259
145,win,46,32,7,14,30.4348
146,win,32,18,7,14,43.75
147,win,21,17,3,4,19.0476
148,win,51,38,10,13,25.4902
149,win,19,15,4,4,21.0526
150,win,15,12,3,3,20.0
151,win,14,11,3,3,21.4286
152,win,35,23,7,12,34.2857
153,win,17,11,3,6,35.2941
154,win,29,18,7,11,37.931
155,win,20,18,2,2,10.0
156,win,18,17,1,1,5.5556
157,win,11,11,0,0,0.0
158,win,16,14,2,2,12.5
159,win,19,15,2,4,21.0526
160,win,56,33,9,23,41.0714
161,win,18,16,2,2,11.1111
162,win,14,14,0,0,0.0
163,win,53,33,10,20,37.7358
164,win,19,16,3,3,15.7895
165,win,14,14,0,0,0.0
166,win,49,28,7,21,42.8571
167,win,21,17,1,4,19.0476
168,win,12,11,1,1,8.3333
169,win,18,16,2,2,11.1111
170,loss,91,51,15,40,43.956
171,win,14,14,0,0,0.0
172,win,33,24,6,9,27.2727
173,win,34,25,4,9,26.4706
174,win,15,14,1,1,6.6667
175,win,45,31,7,14,31.1111
176,win,12,11,1,1,8.3333
177,win,18,16,2,2,11.1111
178,win,29,23,5,6,20.6897
179,win,59,33,10,26,44.0678
180,win,11,11,0,0,0.0
181,win,8,8,0,0,0.0
182,win,15,13,2,2,13.3333
183,win,34,22,5,12,35.2941
184,win,16,15,1,1,6.25
185,win,46,26,9,20,43.4783
186,win,21,16,4,5,23.8095
187,win,17,17,0,0,0.0
188,win,10,10,0,0,0.0
189,win,14,10,4,4,28.5714
190,win,15,13,2,2,13.3333
191,win,16,13,3,3,18.75
192,win,38,27,6,11,28.9474
193,win,22,17,4,5,22.7273
194,win,19,18,1,1,5.2632
195,win,32,23,5,9,28.125
196,win,75,38,12,37,49.3333
197,loss,94,44,16,50,53.1915
198,win,35,26,4,9,25.7143
199,loss,97,44,20,53,54.6392
200,win,27,19,3,8,29.6296
201,win,45,30,9,15,33.3333
202,loss,98,48,16,50,51.0204
203,win,34,23,4,11,32.3529
204,win,59,28,13,31,52.5424
205,loss,96,30,11,66,68.75
206,win,89,46,17,43,48.3146
207,win,54,32,11,22,40.7407
208,win,89,40,16,49,55.0562
209,win,62,33,14,29,46.7742
210,win,8,8,0,0,0.0
211,win,34,27,5,7,20.5882
212,loss,94,38,13,56,59.5745
213,win,31,19,7,12,38.7097
214,loss,99,33,15,66,66.6667
215,loss,96,39,17,57,59.375
216,win,25,20,5,5,20.0
217,win,21,18,2,3,14.2857
218,win,14,13,1,1,7.1429
219,win,17,15,2,2,11.7647
220,win,32,20,4,12,37.5
221,win,13,13,0,0,0.0
222,win,14,13,1,1,7.1429
223,loss,100,28,15,72,72.0
224,win,49,23,10,26,53.0612
225,loss,97,41,19,56,57.732
226,loss,99,26,12,73,73.7374
227,win,16,14,2,2,12.5
228,win,21,20,1,1,4.7619
229,win,18,17,1,1,5.5556
230,win,37,23,7,14,37.8378
231,win,86,45,19,41,47.6744
232,win,19,19,0,0,0.0
233,win,31,23,3,8,25.8065
234,win,14,14,0,0,0.0
235,win,19,17,2,2,10.5263
236,win,63,30,12,33,52.381
237,win,16,14,2,2,12.5
238,win,14,13,1,1,7.1429
239,win,19,15,4,4,21.0526
240,win,18,14,3,4,22.2222
241,win,15,14,1,1,6.6667
242,win,39,24,7,15,38.4615
243,win,70,28,7,42,60.0
244,win,24,20,4,4,16.6667
245,win,41,23,8,18,43.9024
246,win,14,13,1,1,7.1429
247,win,71,42,11,29,40.8451
248,win,43,30,4,13,30.2326
249,win,27,19,3,8,29.6296
250,win,60,34,8,26,43.3333
251,win,52,29,10,23,44.2308
252,win,18,17,1,1,5.5556
253,win,16,16,0,0,0.0
254,win,24,17,4,7,29.1667
255,win,17,15,2,2,11.7647
256,win,40,25,6,15,37.5
257,win,36,24,6,12,33.3333
258,win,17,13,4,4,23.5294
259,win,33,23,3,10,30.303
260,win,17,16,1,1,5.8824
261,win,26,21,3,5,19.2308
262,win,11,10,1,1,9.0909
263,win,38,28,5,10,26.3158
